27.8,24.5,29.1,26.6,5690,45.3,14.2,1
27.2,23.6,30.5,24.6,19798,67,7.2,0
29.2,27,33.2,25.5,16456,75.8,11.2,1
30.3,31.2,26.5,30,6130,31.1,6,0
29.4,22.2,35,27.6,11912,53.8,10,1
37,24.3,35.3,19.1,12260,34.2,7.8,0
27.7,24.8,23,22.6,8320,33.8,5.5,0
34.1,27.1,38.2,31.5,16180,72.7,10.2,1
32.9,29.5,34,25,14235,106.1,8.8,0
34,29.4,29.2,37,7294,70.8,6.1,0
29,27.1,31.9,23.4,87428,154.9,9.7,1
25.8,23.8,34.7,21.1,11424,58.2,6.7,0
25.9,21.7,24.5,27.1,17335,63.3,7.8,0
22.9,23.1,24.9,21.3,35743,95.2,6.5,0
34.8,27.5,36.8,31.6,14593,63.1,7.2,0
30.8,26.6,27.2,25.1,65687,95.4,6.6,0
28.2,23.9,27.8,20.7,32259,107.4,8.5,0
23.4,22.5,32.7,28.9,16097,76.5,6.7,0
28.2,27.6,39,28.5,8534,22.1,13,1
18.9,20.8,26.7,21,13249,95.6,4.8,0
34.1,32.7,42.2,24.1,12378,38.5,10.9,1
27.1,25.3,29.7,23.8,23311,97.7,7.9,0
34.9,30.5,35,33.8,10818,45.6,11.5,1
22.6,24.6,18.4,14.3,17218,51.9,7.5,0
22.8,23.8,26,20.2,23944,42,9.1,0
14.8,16.5,17.2,19.6,22678,87.2,4.2,0
32.7,24.5,34.5,25.6,10361,75.5,8.8,0
25.8,23.8,24.9,16.1,6343,36.3,10.9,1
23.3,19.9,21.4,19.9,537647,69.8,6.3,0
27.9,25,30.6,29.4,31916,39,7.5,0
23.7,25.1,27.1,19.8,22206,49.8,8.8,0
20.9,19.7,23.8,18.7,149746,93.1,6.6,0
26.9,26.7,28.3,21.8,33439,21.3,10.6,1
36.9,20,20.4,18.1,11544,45.2,7,0
23.4,16,28.5,21.9,28886,63.4,5.7,0
26.7,25.7,26.8,16.2,45336,43.6,9.2,0
35,30.2,28.9,29.7,3783,60.4,7.7,0
24.9,22.7,33.8,25.4,5191,84.3,10.2,1
22.3,21.5,25.4,21.4,22708,52.4,5.8,0
31.4,23.7,30.4,25.1,5033,95,6.7,0
30,20.8,27.3,16.2,3575,61.1,6.3,0
29.4,25.1,34.5,21.9,3723,55.1,8.6,0
29.9,26.5,32.7,32.2,3085,72.3,4.9,0
29.9,29.1,27.3,25.1,11601,121.1,6.2,0
27.5,21.1,27.5,27.5,9011,46.9,5.8,0
29.1,30,33.6,25,10083,38.5,11.5,1
24.4,23.6,22.9,19.8,10687,63.8,4.8,0
28.7,27.4,17.5,31.7,2780,16.5,4.7,0
25,22.3,33.3,28.3,14158,80.2,8,0
31.7,29.5,34.8,31.7,4636,58.4,9.9,1
32.2,28.1,35.5,22.1,4327,38.4,9.3,1
30.8,26.9,31.6,26,4830,83.5,7.2,0
29.1,27.4,34,23.3,13485,94.2,9.8,1
27.8,23.2,21.1,29.5,7148,21.4,6.3,0
30.3,23.1,26.1,28.4,2906,17.9,8.3,0
34,31,27.5,28.1,7040,67.2,9.7,1
42.5,29.3,33,28.5,10149,56.4,7,0
33.4,27.6,37,22.6,4306,51.7,6.6,0
30.2,24.8,32.4,21.9,4393,59.5,7.9,0
23.2,28.4,29.8,26.6,8198,79.5,6.5,0
23.6,22.3,28.9,21,52197,165.1,6.7,0
23.7,24.2,24.1,23.5,7970,48.3,7.5,0
28,26.4,32.1,20.5,18572,125.5,7.1,0
42.4,25.1,19.3,26.1,3682,60.8,8.2,0
30,27,28.4,25.8,6517,95.1,9.1,0
21.9,18.6,24.6,21.4,26412,88.2,5.5,0
30.2,24.1,25.4,24.2,10331,58.9,8.7,0
31.6,25.5,21,27.9,4389,51.4,8.9,0
20.7,18.4,21.4,15.6,201483,117.4,5.3,0
25.8,23.7,26.7,17,37097,71,4.3,0
21,21.6,23.7,14.2,119080,97.2,5.4,0
14.2,24,20.4,14.9,21522,76.9,4.8,0
25.8,27.7,25.1,14.6,202484,77.9,7.4,0
30.4,26.5,27.5,21.4,152346,62.2,9,0
27.3,21.3,24.2,16.7,2167891,93.9,6.7,0
8.3,9.9,23,12,23521,167.2,2.8,0
30.4,24.4,20.7,17,80153,73.5,4.7,0
18.5,17.7,20,14.4,509324,105,4.2,0
11.3,17.3,21.1,15,31044,104.7,5.7,0
28,23.4,24.9,16.3,320908,45.7,6.8,0
18.4,20.8,25.3,17.2,198250,90.9,6.4,0
28.6,25.7,26.4,17.8,351853,60.2,7.8,0
22.5,20.3,24.7,14.6,488866,91.5,5.6,0
21.8,10.5,20.8,17.8,102303,243.3,3.7,0
27.6,25,28.8,16.9,109891,66.6,6.4,0
14.2,19.1,24.9,12.6,36997,92,5.5,0
18.8,14.4,21.6,16.8,84134,119.4,4.2,0
20.4,17.4,28.5,12.9,71837,96.8,5.7,0
18.4,17.4,22.6,10.9,196918,123.4,5.9,0
16.8,17.9,17.7,11.3,41479,101.7,6.9,0
12.5,23.2,27.6,22.9,27365,81.7,5.6,0
18.6,20.9,21.9,17.2,54843,81.1,6.4,0
18.2,20.7,17.1,16.6,63936,109.1,6.3,0
28.2,25.4,24.6,18.7,89406,69.8,10,1
34.9,24.9,22.4,18.6,100242,53.8,9.7,1
21.5,19.5,27.7,16.1,130322,80,7,0
25,22.2,22,24.1,60276,37.8,6.6,0
19.3,18.2,19,17.5,3261,78.5,5.5,0
17.6,17.2,19.9,19.9,62694,90.3,5.1,0
10.3,10.9,16.8,14.3,39248,136.6,3.8,0
24.5,17.8,26.9,21.8,5244,66.8,7.4,0
22.8,16.2,20.8,21.1,101192,194.1,5.2,0
11.4,11.4,15.6,8.9,27847,58.9,4,0
15,13.8,15.5,14.2,7789,92.6,0.5,0
17.1,18,18.9,20.2,71691,55.5,4,0
20.9,15.1,23.5,25.6,6693,52.3,4.8,0
8.7,11.6,20.4,20.1,6788,68.3,5.5,0
13.9,14.2,20.8,20,61303,93.2,4.1,0
12.1,8.7,16.5,20.9,6532,94.8,1.4,0
13.6,12.8,18.4,20.7,33688,91.2,3.5,0
25.7,25.3,22.6,31.6,3212,53.1,6.2,0
17.9,18.3,24.1,20.4,18749,90.9,3.9,0
28.6,18,21.3,21.4,6477,72,4.2,0
34.4,25.6,21.9,24.4,5406,64.3,4.2,0
22.7,22.6,28.8,24.2,26093,86.6,9,0
10.2,7,11.4,17,3707,116.5,0.6,0
24.5,22,20.3,17.7,32985,55.9,4.8,0
20.6,16.3,24,16.4,87577,129.9,5.1,0
21.1,19.2,25.2,18.3,95398,130,6.3,0
19.4,17.7,23.7,18.2,14599,77.3,5.8,0
18,18.8,25.2,18.3,11370,93.7,5.2,0
25.4,21,25.4,20.1,92560,143.8,7.3,0
20.3,19.3,25.3,21.3,23723,75,6.6,0
17.8,18.7,20.2,18.7,11139,69.1,4.2,0
24.9,23.5,29.8,24.2,11524,57.8,7.4,0
26.9,25.2,28.6,24.6,17333,50.7,8.5,0
23,20.5,25.8,22.1,51503,97.3,6.6,0
27.9,24.5,32.5,24.7,21623,63.4,8.9,0
22.2,21.3,26.7,20.4,-2222,227.6,7.8,0
23.3,17.5,23.1,22,33617,220.7,7.1,0
23.7,20.5,22.4,24.7,21318,56.9,6.9,0
23.7,20.3,31.5,27.8,58996,71,8.8,0
25.8,18.8,24.8,18.4,264560,75.5,7.1,0
22.9,23.1,37.6,19.9,15876,66.7,9.1,0
28.7,17.6,38.9,21.8,16855,52.8,11.6,1
21.4,20.6,21.8,28.9,17984,70.7,7.9,0
21.3,19.8,29,17.6,35984,68.7,8.4,0
24.2,24.4,29.4,21,108555,107.9,6.5,0
27.9,27,33.3,26.5,43450,86.3,8.4,0
21.8,14.1,34.3,19.5,6658,35.3,9.7,1
29.9,21.5,26.3,24.3,18239,53.7,10.3,1
28.2,20.7,42.7,21,15429,69.1,9.6,1
25.5,21.9,22.8,24.1,159922,88.5,8,0
19.7,19,28,22.3,12963,82.4,7.4,0
23,21.4,34.4,24.4,31233,58.8,7.8,0
27.4,18.7,30.9,26.6,66178,58.4,9.8,1
20.6,16.2,19.6,20.1,32754,102.1,4.6,0
26.9,18.4,31.1,21.5,36466,66.8,8.2,0
26.1,23.7,35,25.2,41468,48.8,9.4,1
24.2,13.9,26.4,22.1,14138,77.3,6.4,0
34.6,19,24.2,17.6,485473,111.5,8.1,0
21.2,20,26.3,26.4,10211,68.1,7.2,0
19.3,20.7,28.5,22,21753,92.2,7.6,0
25.9,19.5,23.6,19.8,157645,90.5,7.2,0
29,22.2,19.7,23,33602,43.6,7.3,0
23.4,18.3,27.8,20.1,159195,82.9,7.8,0
24.9,23.1,34.8,23.6,49412,50.8,8.1,0
